Title,Duration,URL,Creator,Date,Tags,Transcript File
Que es la diabetes tipo 2?,1:51,https://www.youtube.com/watch?v=Bl-zY3dkyg0&feature=youtu.be,My Doctor-Kaiser Permanente,"Jul 14, 2015","Definicion,Diabetes,General,Introduccion",Que_es_la_diabetes_tipo_2-d608a800-b677-4cc1-9bb3-abfae9c660df.docx
Los mejores alimentos y dieta para la diabetes- Como bajar el azucar con estos remedios caseros,10:58,https://www.youtube.com/watch?v=CxQe1e1dUG4&feature=youtu.be,Dr. Agustin Landivar,"May 28, 2019","Alimentos,Comida,Diabetes,Remedios Caseros",Los_Mejores_Alimentos_y_Dieta_Para_la_Diabetes_-_Como_Bajar_el_Azucar_con_Estos_Remedios_Caseros_-7d226d74-96df-4434-907b-e8c1fb829797.docx
5 Maneras Secretas y Sencillas de Controlar Su Diabetes Y Su Salud Mental,6:09,https://www.youtube.com/watch?v=rmEdCMUA6ms&feature=youtu.be,Consejos Para Diabeticos,"Nov 27, 2017","Depresion,Diabetes,Estres,Salud Mental,Vida Social",5_Maneras_Secretas_y_Sencillas_De_Controlar_Su_Diabetes_Y_Su_Salud_Mental_-6cc57114-632e-4925-b27d-35d1979193b6.docx
Ejercicio Fisico y Diabetes,2:28,https://www.youtube.com/watch?v=CyX_lA8wFpE&feature=youtu.be,Grupo Menarini Espana,"Sep 29, 2019","Diabetes,Ejercicio,Gimnasio,Pesas,Vida Social",Ejercicio_Fisico_y_diabetes-87f133c3-225e-4575-be59-639d15cad320.docx
"Metformina, cuando y como debemos tomarla",2:54,https://www.youtube.com/watch?v=L1GCT7xAo3U&feature=youtu.be,Farmaceuticos,"Oct 12, 2017","Calambres,Diabetes,Medicamentos,Medicina,Metformina,Nausea,Rinones,Vomitos",Metformina_cuando_y_como_debemos_tomarla_-2d7b0bd0-08a3-4b7e-bc58-d860519174b5.docx
Cómo funciona la metformina?,8:41,https://www.youtube.com/watch?v=SxWo1kXCCrs&feature=youtu.be,Medicina Actual,"Jun 03, 2014","Biologia,Diabetes,Metformina,Rinones",Como_funciona_la_metformina_-22b83edd-6062-40d0-902d-adaf5011d384.docx
Pasos para cuidar los pies,2:36,https://www.youtube.com/watch?v=ju-xtDe1CAY,Grupo Menarini Espana,"Sep 29, 2019","Callos,Diabetes,Hongos,Pies,Unas,zapatos",Pasos_para_cuidar_los_pies_-fe330f65-1b9f-4bb8-ba2b-452407e76ef5.docx
Viajar con diabetes,2:03,https://www.youtube.com/watch?v=qdPj0-mRgNw,Grupo Menarini Espana,"Jun 07, 2019","Avion,Diabetes,Vacunas,Viajar,Viaje",Viajar_con_diabetes-3b63b4c5-7640-4444-8585-6023bc75a32d.docx
"Diabetes, Tomatela en Serio",3:53,https://www.youtube.com/watch?v=AzPGkpOfIZ0,Alianza por la diabetes,"Nov 12, 2015","Actitud,Comida,Diabetes,Ejercicio,Medicina,Positiva,Vida Social",Diabetes_Tomatela_en_serio_-fcc1c88f-2147-4bae-a158-c255be17f251.docx
Bebidas para diabeticos,1:59,https://www.youtube.com/watch?v=q-CSx-1Kjj8,Grupo Menarini Espana,"Jun 21, 2019","Comida,Diabetes,agua,bebidas,cafe,jugo,leche,soda",Bebidas_para_diabeticos_-7ba5b9c0-4b7d-4d6f-9031-747a8558f79b.docx
